Id,Weekly_Sales
1_1_2012-11-02,33441.198921371986
1_1_2012-11-09,48611.89092679749
1_1_2012-11-16,8059.431513377473
1_1_2012-11-23,40529.041769801246
1_1_2012-11-30,34261.34994567432
1_1_2012-12-07,3775.016986840904
1_1_2012-12-14,27261.02512074133
1_1_2012-12-21,41953.67066344369
1_1_2012-12-28,30457.578684432036
1_1_2013-01-04,35062.99556407247
1_1_2013-01-11,25945.14235602586
1_1_2013-01-18,10107.10000649931
1_1_2013-01-25,42505.94724880403
1_1_2013-02-01,18053.473633973885
1_1_2013-02-08,10524.767594084205
1_1_2013-02-15,10306.246319176264
1_1_2013-02-22,17260.49494551758
1_1_2013-03-01,1688.4134898067375
1_1_2013-03-08,4265.23857201912
1_1_2013-03-15,7989.900543526145
1_1_2013-03-22,9709.958234708198
1_1_2013-03-29,26910.19362522711
1_1_2013-04-05,6480.004798984309
1_1_2013-04-12,11089.752750344845
1_1_2013-04-19,8487.345295822593
1_1_2013-04-26,1568.5202557297741
1_1_2013-05-03,576.2253419735887
1_1_2013-05-10,5152.516250315812
1_1_2013-05-17,2712.9063754301856
1_1_2013-05-24,1970.3035051003308
1_1_2013-05-31,8516.61702049711
1_1_2013-06-07,6396.87832907049
1_1_2013-06-14,12225.34555058824
1_1_2013-06-21,3202.985128249171
1_1_2013-06-28,1719.0345705160405
1_1_2013-07-05,3294.3417655897597
1_1_2013-07-12,86998.68155361325
1_1_2013-07-19,63733.73857920009
1_1_2013-07-26,1228.5013672622947
1_2_2012-11-02,8118.542618787084
1_2_2012-11-09,5830.671589483002
1_2_2012-11-16,20202.290413403807
1_2_2012-11-23,1404.3042563906952
1_2_2012-11-30,10058.604048526347
1_2_2012-12-07,2319.237379584561
1_2_2012-12-14,16986.60482051954
1_2_2012-12-21,1445.107909417372
1_2_2012-12-28,2898.9724200489477
1_2_2013-01-04,268.85960729894657
1_2_2013-01-11,873.7868094182556
1_2_2013-01-18,6893.420178951629
1_2_2013-01-25,1910.325724008889
1_2_2013-02-01,56560.85901937434
1_2_2013-02-08,12246.511284060565
1_2_2013-02-15,41271.85795192388
1_2_2013-02-22,20067.10117146717
1_2_2013-03-01,31373.279735111602
1_2_2013-03-08,23498.549114569403
1_2_2013-03-15,5204.918577209589
1_2_2013-03-22,2630.82964884638
1_2_2013-03-29,61219.49206216258
1_2_2013-04-05,92380.19727801919
1_2_2013-04-12,69533.9953509075
1_2_2013-04-19,159786.46632844867
1_2_2013-04-26,83475.53248639267
1_2_2013-05-03,59107.387008351594
1_2_2013-05-10,119425.54031943897
1_2_2013-05-17,36904.235833267056
1_2_2013-05-24,39155.104564959736
1_2_2013-05-31,12688.97523726159
1_2_2013-06-07,261.21847586767916
1_2_2013-06-14,32268.072868892024
1_2_2013-06-21,49972.67971921033
1_2_2013-06-28,8418.958147962077
1_2_2013-07-05,40322.39145565548
1_2_2013-07-12,33205.21171210848
1_2_2013-07-19,4212.768758988628
1_2_2013-07-26,27994.775428725654
1_3_2012-11-02,42961.11122123924
1_3_2012-11-09,29526.086593005144
1_3_2012-11-16,35405.12287008087
1_3_2012-11-23,26400.59650602275
1_3_2012-11-30,10307.430484327348
1_3_2012-12-07,42610.96992720284
1_3_2012-12-14,18781.24054604668
1_3_2012-12-21,10038.36224334205
1_3_2012-12-28,10621.593742608127
1_3_2013-01-04,16988.71885152648
1_3_2013-01-11,1838.9119604188124
1_3_2013-01-18,4347.763516454944
1_3_2013-01-25,8090.860280767895
1_3_2013-02-01,9868.82456328343
1_3_2013-02-08,27804.65395166712
1_3_2013-02-15,6548.923440186075
1_3_2013-02-22,11061.94901620705
1_3_2013-03-01,9256.253760023219
1_3_2013-03-08,1460.4130925249203
1_3_2013-03-15,690.5120994310303
1_3_2013-03-22,5336.181290010504
1_3_2013-03-29,2709.2094773848144
1_3_2013-04-05,1887.3816181136472
1_3_2013-04-12,8674.38784471404
1_3_2013-04-19,6634.641207222356
1_3_2013-04-26,12442.628959001871
1_3_2013-05-03,3193.5134293471147
1_3_2013-05-10,1685.9918323536633
1_3_2013-05-17,3216.3202577384577
1_3_2013-05-24,87985.08897102752
1_3_2013-05-31,64628.95878434789
1_3_2013-06-07,1345.1520704375414
1_3_2013-06-14,8139.955970138291
1_3_2013-06-21,6199.06586736468
1_3_2013-06-28,19952.4999067443
1_3_2013-07-05,1192.01654427742
1_3_2013-07-12,9851.928156255297
1_3_2013-07-19,2418.8366284754857
1_3_2013-07-26,16758.46344593871
1_4_2012-11-02,1054.3477119233553
1_4_2012-11-09,2953.3723703097244
1_4_2012-11-16,338.2080366429563
1_4_2012-11-23,979.8429575353641
1_4_2012-11-30,6751.978621447885
1_4_2012-12-07,2172.3628981226157
1_4_2012-12-14,55257.39224663892
1_4_2012-12-21,12174.466563779088
1_4_2012-12-28,42697.477698674134
1_4_2013-01-04,20201.80414854526
1_4_2013-01-11,31180.567558995375
1_4_2013-01-18,23854.224811475233
1_4_2013-01-25,5179.653930675146
1_4_2013-02-01,2627.264795287192
1_4_2013-02-08,62618.01310396837
1_4_2013-02-15,93834.73857823128
1_4_2013-02-22,68529.43239737485
1_4_2013-03-01,161368.49471580927
1_4_2013-03-08,85310.19351486287
1_4_2013-03-15,57626.63641606419
1_4_2013-03-22,119238.24576334508
1_4_2013-03-29,37599.20142008829
1_4_2013-04-05,39461.28968754634
1_4_2013-04-12,12727.412125636205
1_4_2013-04-19,263.206076812059
1_4_2013-04-26,20682.03029409871
1_4_2013-05-03,45417.39125775639
1_4_2013-05-10,8330.386596670134
1_4_2013-05-17,37701.66611281551
1_4_2013-05-24,31800.344256041677
1_4_2013-05-31,4416.182661425447
1_4_2013-06-07,29411.889558192215
1_4_2013-06-14,37585.07871766426
1_4_2013-06-21,25669.67223513207
1_4_2013-06-28,33041.23437994533
1_4_2013-07-05,22919.937304492072
1_4_2013-07-12,9572.297337279997
1_4_2013-07-19,37961.40455345542
1_4_2013-07-26,18186.46541505581
1_5_2012-11-02,8667.12884527949
1_5_2012-11-09,10309.42210376022
1_5_2012-11-16,14946.770768343395
1_5_2012-11-23,1647.8127028472313
1_5_2012-11-30,4282.497201967128
1_5_2012-12-07,7836.043757776563
1_5_2012-12-14,9550.85338465416
1_5_2012-12-21,24688.897263791867
1_5_2012-12-28,5921.235373718761
1_5_2013-01-04,10344.827373558428
1_5_2013-01-11,7758.145199134935
1_5_2013-01-18,1403.6172390901727
1_5_2013-01-25,629.2675169890468
1_5_2013-02-01,4846.324671094514
1_5_2013-02-08,2745.626526026264
1_5_2013-02-15,1913.5681430285683
1_5_2013-02-22,8138.2255651366995
1_5_2013-03-01,6011.519535565912
1_5_2013-03-08,11128.748021281443
1_5_2013-03-15,2722.4352734748095
1_5_2013-03-22,1133.8491735531377
1_5_2013-03-29,2952.748075770878
1_5_2013-04-05,76983.93190808583
1_5_2013-04-12,59934.059305456496
1_5_2013-04-19,1164.3239285070094
1_5_2013-04-26,7619.19493792208
1_5_2013-05-03,5702.884523015672
1_5_2013-05-10,17480.007720292248
1_5_2013-05-17,1007.2231037255151
1_5_2013-05-24,10413.709985088024
1_5_2013-05-31,2347.803662614351
1_5_2013-06-07,32.50109316181202
1_5_2013-06-14,17971.094756515504
1_5_2013-06-21,465.62318326451975
1_5_2013-06-28,2849.411075491147
1_5_2013-07-05,582.107030020567
1_5_2013-07-12,789.5314486785858
1_5_2013-07-19,5828.546198624749
1_5_2013-07-26,1840.7726330705218
1_6_2012-11-02,54701.69160999677
1_6_2012-11-09,11729.046758035922
1_6_2012-11-16,35102.23696127488
1_6_2012-11-23,19816.551676402232
1_6_2012-11-30,30087.45791462904
1_6_2012-12-07,22278.617143640928
1_6_2012-12-14,5202.230735807026
1_6_2012-12-21,2852.064187714061
1_6_2012-12-28,47755.68001114405
1_6_2013-01-04,91170.55209080882
1_6_2013-01-11,67273.53786023831
1_6_2013-01-18,157490.28169812862
1_6_2013-01-25,83276.94830093591
1_6_2013-02-01,58321.437357936615
1_6_2013-02-08,115226.27871276559
1_6_2013-02-15,34957.49194931228
1_6_2013-02-22,38036.24525335478
1_6_2013-03-01,12580.570703873898
1_6_2013-03-08,21737.968958147383
1_6_2013-03-15,39712.75682630598
1_6_2013-03-22,9260.347022759572
1_6_2013-03-29,44263.31148441248
1_6_2013-04-05,85433.09553085145
1_6_2013-04-12,21215.124779765287
1_6_2013-04-19,77002.7730087952
1_6_2013-04-26,35083.78367271611
1_6_2013-05-03,37541.978430343865
1_6_2013-05-10,33735.94559631183
1_6_2013-05-17,26264.59508813781
1_6_2013-05-24,8254.793500119024
1_6_2013-05-31,36069.460405383026
1_6_2013-06-07,48004.13824776409
1_6_2013-06-14,6034.494858589248
1_6_2013-06-21,15739.262388405317
1_6_2013-06-28,43104.79742735807
1_6_2013-07-05,2399.3640767922006
1_6_2013-07-12,7000.7585525148725
1_6_2013-07-19,10001.915526618941
1_6_2013-07-26,20753.68227332023
1_7_2012-11-02,33902.77822719361
1_7_2012-11-09,13067.536899842205
1_7_2012-11-16,12940.067981951479
1_7_2012-11-23,12690.796189035344
1_7_2012-11-30,3409.4646813783233
1_7_2012-12-07,1026.6914209478903
1_7_2012-12-14,8152.592665088631
1_7_2012-12-21,2740.404923418321
1_7_2012-12-28,2841.8288787130105
1_7_2013-01-04,11433.724005321656
1_7_2013-01-11,13458.972858008738
1_7_2013-01-18,15239.340199151116
1_7_2013-01-25,3953.3260298745518
1_7_2013-02-01,2471.382783661906
1_7_2013-02-08,3513.4341453018587
1_7_2013-02-15,51334.32503637348
1_7_2013-02-22,50277.392544014176
1_7_2013-03-01,3175.951518625575
1_7_2013-03-08,8283.998090422016
1_7_2013-03-15,9539.790551919084
1_7_2013-03-22,21973.360619985255
1_7_2013-03-29,3447.8354021546224
1_7_2013-04-05,7173.688179634985
1_7_2013-04-12,5227.794235442655
1_7_2013-04-19,496.52303677706004
1_7_2013-04-26,39764.29890087863
1_7_2013-05-03,-109.2381548839656
1_7_2013-05-10,3813.5034715995557
1_7_2013-05-17,1107.4770088791288
1_7_2013-05-24,1141.5315321358696
1_7_2013-05-31,5940.683151513608
1_7_2013-06-07,7401.066093096305
1_7_2013-06-14,209372.99641567888
1_7_2013-06-21,27135.16410420351
1_7_2013-06-28,34200.191252277174
1_7_2013-07-05,17614.407991563756
1_7_2013-07-12,28075.439295280226
1_7_2013-07-19,27095.695614301847
1_7_2013-07-26,4921.978501500113
1_8_2012-11-02,3331.760168280438
1_8_2012-11-09,48951.447146755796
1_8_2012-11-16,95521.16041542494
1_8_2012-11-23,57800.663919491184
1_8_2012-11-30,168655.94993958858
1_8_2012-12-07,85005.12921892508
1_8_2012-12-14,61613.30854478683
1_8_2012-12-21,112233.01979450668
1_8_2012-12-28,42301.438895451516
1_8_2013-01-04,30315.630217503367
1_8_2013-01-11,19098.09145717424
1_8_2013-01-18,3741.964479689918
1_8_2013-01-25,22694.71620246869
1_8_2013-02-01,50214.84751329504
1_8_2013-02-08,12344.192070852168
1_8_2013-02-15,38646.269903286244
1_8_2013-02-22,64718.391576915885
1_8_2013-03-01,7753.924220358573
1_8_2013-03-08,88053.78625716706
1_8_2013-03-15,39913.71001768366
1_8_2013-03-22,29719.68346705275
1_8_2013-03-29,32801.90334051487
1_8_2013-04-05,25089.653630204633
1_8_2013-04-12,8496.077578676915
1_8_2013-04-19,37609.003090578815
1_8_2013-04-26,30134.367557436606
1_8_2013-05-03,8070.546183762784
1_8_2013-05-10,12945.196801157932
1_8_2013-05-17,21729.113820503928
1_8_2013-05-24,2217.4165848137536
1_8_2013-05-31,4696.870362545621
1_8_2013-06-07,8387.91509555546
1_8_2013-06-14,12795.070597974664
1_8_2013-06-21,35741.884792909186
1_8_2013-06-28,9600.320642240511
1_8_2013-07-05,11238.929745168865
1_8_2013-07-12,9630.215823617977
1_8_2013-07-19,2452.1670663748087
1_8_2013-07-26,1022.8267025740291
1_9_2012-11-02,7254.152877861347
1_9_2012-11-09,3093.586145506781
1_9_2012-11-16,2653.372181571897
1_9_2012-11-23,12088.68596388706
1_9_2012-11-30,9871.425276659098
1_9_2012-12-07,13200.685283520794
1_9_2012-12-14,3485.808737305958
1_9_2012-12-21,2424.9842497127606
1_9_2012-12-28,3218.887330368244
1_9_2013-01-04,75876.55013996086
1_9_2013-01-11,60424.465730243726
1_9_2013-01-18,1960.862773174858
1_9_2013-01-25,7543.8609064276925
1_9_2013-02-01,5838.2845196197495
1_9_2013-02-08,247.60638295704572
1_9_2013-02-15,23323.18185543213
1_9_2013-02-22,2094.256103445608
1_9_2013-03-01,8800.903329557366
1_9_2013-03-08,3576.309702895862
1_9_2013-03-15,333.2455319104776
1_9_2013-03-22,24833.253314788897
1_9_2013-03-29,563.8485487635357
1_9_2013-04-05,3528.452698903639
1_9_2013-04-12,1484.6527495810653
1_9_2013-04-19,1064.9172951553446
1_9_2013-04-26,7670.287127351295
1_9_2013-05-03,3415.523321353772
1_9_2013-05-10,131971.5615697652
1_9_2013-05-17,14143.909682430225
1_9_2013-05-24,36540.36343025591
1_9_2013-05-31,18416.453323846312
1_9_2013-06-07,27707.279601459795
1_9_2013-06-14,38486.92310106833
1_9_2013-06-21,5994.6439602430555
1_9_2013-06-28,3431.1058227231933
1_9_2013-07-05,50395.47802086375
1_9_2013-07-12,98639.87577630987
1_9_2013-07-19,61491.75641028795
1_9_2013-07-26,160217.96939097694
1_10_2012-11-02,80094.44865094307
1_10_2012-11-09,57797.62652615134
1_10_2012-11-16,115869.07529196142
1_10_2012-11-23,40013.28279006702
1_10_2012-11-30,32856.29057763136
1_10_2012-12-07,12764.331845001485
1_10_2012-12-14,1281.7314198624576
1_10_2012-12-21,32313.722377405647
1_10_2012-12-28,52261.22938505476
1_10_2013-01-04,10800.347877852153
1_10_2013-01-11,40660.151792937024
1_10_2013-01-18,40457.63007006699
1_10_2013-01-25,4922.730282703045
1_10_2013-02-01,53686.98981423716
1_10_2013-02-08,40137.25145006938
1_10_2013-02-15,33434.71163591433
1_10_2013-02-22,38026.0850994174
1_10_2013-03-01,30999.44600991862
1_10_2013-03-08,9566.162836780166
1_10_2013-03-15,39038.097996804805
1_10_2013-03-22,22913.24936529132
1_10_2013-03-29,13229.61228558239
1_10_2013-04-05,10523.954527647607
1_10_2013-04-12,37669.89992774176
1_10_2013-04-19,2067.9950420939135
1_10_2013-04-26,4055.996893832678
1_10_2013-05-03,9095.578254006094
1_10_2013-05-10,10395.706398253866
1_10_2013-05-17,33189.16347606478
1_10_2013-05-24,8772.787105450505
1_10_2013-05-31,12912.220546264876
1_10_2013-06-07,9257.71400806705
1_10_2013-06-14,1789.9655410947141
1_10_2013-06-21,677.8472858341851
1_10_2013-06-28,6196.852668879503
1_10_2013-07-05,2717.9858357945295
1_10_2013-07-12,2572.0912825190876
1_10_2013-07-19,10940.279785028819
1_10_2013-07-26,8727.219571911715
1_11_2012-11-02,13759.617009207688
1_11_2012-11-09,3188.5145456990435
1_11_2012-11-16,1803.3952506682092
1_11_2012-11-23,3063.3692395938924
1_11_2012-11-30,85502.1051794476
1_11_2012-12-07,62689.50046076275
1_11_2012-12-14,1847.6195613345399
1_11_2012-12-21,7976.741436561813
1_11_2012-12-28,6861.962081071991
1_11_2013-01-04,100.14925981067242
1_11_2013-01-11,25223.269603949713
1_11_2013-01-18,2203.0901295055037
1_11_2013-01-25,9098.804919292226
1_11_2013-02-01,2589.2134372581268
1_11_2013-02-08,200.0679067533478
1_11_2013-02-15,19824.424801762187
1_11_2013-02-22,2799.50865755666
1_11_2013-03-01,3718.202141400525
1_11_2013-03-08,1775.4400947738156
1_11_2013-03-15,925.9433842841735
1_11_2013-03-22,10450.348227037266
1_11_2013-03-29,2333.2041478235096
1_11_2013-04-05,61795.54451220511
1_11_2013-04-12,11666.756946335201
1_11_2013-04-19,40522.309363898814
1_11_2013-04-26,18775.73725587164
1_11_2013-05-03,30017.802183913816
1_11_2013-05-10,29816.242018500743
1_11_2013-05-17,5665.6587888513495
1_11_2013-05-24,3719.124359851823
1_11_2013-05-31,59389.52895345876
1_11_2013-06-07,92432.87860281626
1_11_2013-06-14,66751.18647572864
1_11_2013-06-21,155541.04622955772
1_11_2013-06-28,81020.75858822254
1_11_2013-07-05,60153.16488731739
1_11_2013-07-12,121500.29207600861
1_11_2013-07-19,36849.30155605213
1_11_2013-07-26,38649.26323543324
1_12_2012-11-02,13766.888877576905
1_12_2012-11-09,800.921019077837
1_12_2012-11-16,38036.137973590034
1_12_2012-11-23,51997.72378395853
1_12_2012-11-30,10878.268911269883
